Character,Type,Location,Species,Class/Profession,Notes,Characteristics
Soren,PC,,Aarakocra,bladesinger wizard,"Strakul, retired",claustrophobic
Dumo,PC,,Tortle,circle of stars druid,"Sonja, retired",
Idecca,PC,,Raccling,wild magic sorceror,Zaz. Left via magic,
Juneberry,PC,,Harengon,thief rogue,"Ras, retired",kleptomaniac
Gnash,PC,,Lizardfolk,path of the giant barbarian,"Nick/Zar, killed by Regent",orphan
Soten,PC,,Raccling,radiant soul monk,Koi/Altair,afraid of water
Shar,PC,,Vulpin,hexblade warlock,"Nick/Zar, after Gnash died",
Tsuki,PC,,Tabaxi,college of creation bard,"Moochi, retired",
Tirin Bronzepride,PC,,Leonin,wild magic barbarian,"Sonja, after Dumo retired, killed in Athena AI fight",impatient
Nova,PC,,Warforged,oath of the crown paladin,"Hunter (Derpy), killed in Athena AI fight",
Zinjaro,PC,,Hadozee,light domain cleric,Strakul,
Maximus Arkelius ,PC,,Changeling,aberrant sorcerer,Hunter/Derpy,ancient (anwey)
Aolis (born: Arete),PC,,drow,shadow sorcerer,Koi/Altair,
"Thadius ""Don"" Oppenheimer",PC,,Giff,armorer artificer,"Sonja, died in radioactive pool",
Wobbles Wibbbles,PC,,Kobold,way of the ascendant dragon monk,"Nick/Zar, left on a private quest",
Brambleberry,PC,,Centaur,soulknife rogue,Ras,
Ogra Oaksworn,PC,,Bear,wild tree barbarian,Nick/Zar,
,PC,,,,,
Zarali,,Tessalia,tiefling,rogue,aka Greed,
Maggie North,Quest-giver,Adventurers Guild Hall,tiefling,,guild hall leader,
Queen Tessalia,,Tessalia,,,7 year old ruler of Andore,
Ashton Whitemore,Enemy,Tessalia,human,,"Regent, father of Tessa, wants to overthrow her",
Angela Nevermore,,Tessalia,human,noble,wants to overthrow Regent in coup d'etat and take over,
Thomas,,Tessalia,,smith,preparing weapons for Nevermore,
Zelda,,Adventurers Guild Hall,tiefling,barkeep,barkeep at guild hall,
Theodore,,Tessalia,,knight,information gathering for Regent (dead now),
Lander,,Tessalia,,wizard,court wizard for Regent,
"""James""",,Hollow Mountain,dwarf,,"dwarfen contact, doesn't like to be called James",
Loralai,,Hollow Mountain,dwarf,,Captain of the Guard,
Gruff,,Hollow Mountain,dwarf,,Chief of Security at Hollow Mountain,
Nathaniel,,Hollow Mountain,hobgoblin,,Chief of Upper Tribe,
Malec,,Hollow Mountain,hobgoblin,,Chief of Lower Tribe and The Great Milita,
Nevanda,,,merfolk,,,
Elnsasha,,,merfolk,,queen of the merfolk,
Stephan,,Tessalia,human,,new helper at guild hall,
Magnolia Deathblossom,Enemy,,human,necromancer wizard,Necromancer we keep fighting with the goblin folk,
Sheep Boom,Enemy,,goblin,,Miniboss goblin with strange device that had spell-like effects,
Lord Edminton,,Tessalia,human,,"wealthy merchant, killed at Lordling's Bordella",
Emma,,Lordling's Bordello,human,,courtesan at Lordling's Bordello,
???,Enemy,Lordling's Bordello,rakshasa,,"Some shifter (a rakshasa, we suspect) that killed Lord Edminton",
Vex'ahlia,,Forest of Bone,human,ranger,temporary in the ally searching for druid friend,
Keyleth,,The Santhfield Facility,elf,druid,"found in dungeon, escored out by Tsuki",
Captain Fish,,Port Altarall,merfolk,,captain of ship we'll take to Tesselia,
Alor,,The Wandering Tower,drow,abjuration wizard,Wizard of the Wandering Tower,
Alexander,,The Wandering Tower,???,wizard,Missing Master of the Wandering Tower,
Sofia AI,,Tessalia,AI,,,
Athena AI,Enemy,Southern Andore,AI,,Experiencing rampancy,
Brain,,Southern Andore,owling,sorcerer,part of White Mane Tribe,
Chief,,Southern Andore,leonin,,Chief of White Mane Tribe,
Polythemis,Enemy,Southern Andore,wolfman,,"Chief of the Tunnelers, Prophet of Athena",
Odin AI,,????,AI,,,
Grecko/Vlad AI,,,AI,,,
Lucious,,Helines,,,"Acting Mayor of Helines, brother of Maxwell",
Lady Poomf,Quest-giver,Helines,Bird,,Guild Leader at Helines,
Yiss,,Helines,Yuan Ti,,Bartender,
Mayor Maxwell,,Helines,,,"Mayor of Helines, currently in Drakenweld",
Lady Everdine,Enemy,,,,some kind of enemy of Maxim; sent thugs to attack us,
Liliam,,The Town on the River When,tiefling,bar maid,twin to Lithium,
Lithium,,The Town on the River When,tiefling,bar maid,twin to Liliam,
