Name,Type,Located In...,Notes
Tessalia,City,Andore,
Andore,Kingdom,Northern Andore,Frequent civil wars
North Andore,Region,,
South Andore,Region,,
The Divide,Sea,,Sea that divides North and South Andor
Adventurers Guild Hall,Quest Hall,Tessalia,Can get quests and rest here
Magisters Magical Managerie,Shop,Tessalia,"Aka, The M. Also accepts item commissions"
"Guard Station, Lower City",Guard Station,Tessalia,Contact location for banditry quest
Ridge Mountains,,Andore,Mountains north of Tesselia
Hollow Mountain (aka Nagor),Settlement,Andore,"Dwarven settlement, formerly known as Nagor"
The First Frost,tavern,Tessalia,bandit gathering in Inner City
The Raven’s Den,gambling den,Tessalia,Nevermore's parlor
Castle in the Deep,,Hollow Mountain,Implied as home of merpeople
Lordling's Bordello,brothel,Tessalia,"next door to North Shire Inn, location of a murder"
North Shire Inn,inn,Tessalia,inn in the Upper City
Themus Geysers,,Northern Andore,did not exist prior to The Divide
Forest of Bone,,Northern Andore,"home of carniverous elves, also cannibals"
Riverden,City,Northern Andore,
Port Altarall,City,Northern Andore,
Ore Burrow,Tourist attraction,Northern Andore,Governed by Port Altrall
The Santhfield Facility,dungeon,Northern Andore,ruins by a crater next to the Forest of Bone
The Sea's Edge,tavern,Port Altarall,
The Bear Den,shop,Port Altarall,food shop run by werebear
The Drowned Nexus,,The Divide,maelstrom at center of The Divide
The Voyage,ship,The Divide,ship we took across The Divide
Little Tess,Village,Southern Andore,small treaty port controlled by Tesselia
White Mane Tribe,,Southern Andore,nomadic tribe in Southern Andore
Helines,City,Testro Plains,Gateway to the Testro Plains
Testro Plains,Region,,betweren Topographical Error and Libra Sands
Drakenweld,Region,,Mayor of Helines went there; north of Testro Plains
Moren,City,Testro Plains,Maxim's home
Mountain Home Academy of Magic,School,Moren,greatest magic school
The Town on the River When,Village,Testro Plains,just what the name says
Singing Mandrake,tavern,Moren,
Lindsey's Laundries,laundry,Moren,
The Wastes,Region,Testro Plains,wasteland region north of Moren and south of Drakenweld
The Gates,Keep,The Wastes,very old keeps guarding the pass into Drakenweld
Light,City,Drakenweld,The First and Last City
Spider Mountains,,Drakenweld,Last place dragon were seen
Godsway,,Drakenweld,waterways underneat the tundra
Anthrell,City,Drakenweld,western capital of the demon infested lands in Drakenweld
???,Village,Drakenweld,abandoned village in the corrupted lands of Drakenweld
